  Epoch    Dlat    DLon    DHoriz  Dheight 
  496230   0.150  -0.507   0.529  -0.245  
  496231   0.148  -0.504   0.526  -0.248  
  496232   0.150  -0.505   0.527  -0.243  
  496233   0.152  -0.503   0.526  -0.243  
  496234   0.162  -0.501   0.526  -0.257  
  496235   0.157  -0.499   0.523  -0.250  
  496236   0.152  -0.501   0.523  -0.252  
  496237   0.149  -0.499   0.521  -0.242  
  496238   0.141  -0.497   0.517  -0.235  
  496239   0.152  -0.495   0.518  -0.242  
  496240   0.155  -0.499   0.523  -0.232  
  496241   0.155  -0.502   0.525  -0.236  
  496242   0.162  -0.499   0.525  -0.242  
  496243   0.159  -0.495   0.520  -0.251  
  496244   0.150  -0.493   0.515  -0.239  
  496245   0.148  -0.497   0.518  -0.234  
  496246   0.151  -0.496   0.518  -0.232  
  496247   0.153  -0.494   0.517  -0.231  
  496248   0.152  -0.496   0.519  -0.235  
  496249   0.145  -0.487   0.509  -0.232  
  496250   0.149  -0.490   0.512  -0.235  
  496251   0.142  -0.494   0.514  -0.232  
  496252   0.147  -0.498   0.519  -0.225  
  496253   0.152  -0.496   0.518  -0.223  
  496254   0.154  -0.498   0.521  -0.223  
  496255   0.156  -0.502   0.526  -0.229  
  496256   0.157  -0.506   0.530  -0.222  
  496257   0.145  -0.499   0.520  -0.210  
  496258   0.149  -0.503   0.525  -0.210  
  496259   0.155  -0.503   0.526  -0.208  
  496260   0.152  -0.503   0.525  -0.201  
  496261   0.156  -0.505   0.528  -0.210  
  496262   0.156  -0.503   0.527  -0.212  
  496263   0.152  -0.497   0.520  -0.208  
  496264   0.149  -0.496   0.518  -0.209  
  496265   0.152  -0.493   0.516  -0.206  
  496266   0.154  -0.493   0.517  -0.204  
  496267   0.152  -0.492   0.515  -0.212  
  496268   0.146  -0.490   0.511  -0.207  
  496269   0.153  -0.492   0.515  -0.215  
  496270   0.153  -0.495   0.518  -0.201  
  496271   0.155  -0.498   0.521  -0.210  
  496272   0.155  -0.504   0.527  -0.213  
  496273   0.155  -0.507   0.530  -0.217  
  496274   0.158  -0.500   0.524  -0.215  
  496275   0.156  -0.504   0.528  -0.210  
  496276   0.165  -0.504   0.530  -0.220  
  496277   0.167  -0.504   0.531  -0.225  
  496278   0.162  -0.500   0.526  -0.232  
  496279   0.164  -0.504   0.530  -0.235  
  496280   0.160  -0.498   0.523  -0.232  
  496281   0.162  -0.499   0.525  -0.226  
  496282   0.156  -0.498   0.521  -0.222  
  496283   0.151  -0.497   0.520  -0.221  
  496284   0.159  -0.498   0.523  -0.224  
  496285   0.155  -0.501   0.525  -0.220  
  496286   0.158  -0.499   0.524  -0.215  
  496287   0.155  -0.500   0.523  -0.214  
  496288   0.154  -0.494   0.517  -0.213  
  496289   0.155  -0.492   0.515  -0.209  
  496290   0.158  -0.500   0.524  -0.217  
  496291   0.157  -0.496   0.521  -0.224  
  496292   0.152  -0.482   0.505  -0.180  
